,pickup_date,pickup_time,borough,pickups,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday
0,2015-01-01,01:00:00,Bronx,152,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y
1,2015-01-01,01:00:00,Brooklyn,1519,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y
2,2015-01-01,01:00:00,EWR,0,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y
3,2015-01-01,01:00:00,Manhattan,5258,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y
4,2015-01-01,01:00:00,Queens,405,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y
5,2015-01-01,01:00:00,Staten Island,6,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y
7,2015-01-01,02:00:00,Bronx,120,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y
8,2015-01-01,02:00:00,Brooklyn,1229,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y
9,2015-01-01,02:00:00,EWR,0,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y
10,2015-01-01,02:00:00,Manhattan,4345,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y
11,2015-01-01,02:00:00,Queens,331,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y
12,2015-01-01,02:00:00,Staten Island,7,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y
14,2015-01-01,03:00:00,Bronx,132,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y
15,2015-01-01,03:00:00,Brooklyn,1601,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y
16,2015-01-01,03:00:00,EWR,0,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y
17,2015-01-01,03:00:00,Manhattan,4577,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y
18,2015-01-01,03:00:00,Queens,440,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y
19,2015-01-01,03:00:00,Staten Island,12,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y
21,2015-01-01,04:00:00,Bronx,128,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y
22,2015-01-01,04:00:00,Brooklyn,1390,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y
23,2015-01-01,04:00:00,EWR,0,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y
24,2015-01-01,04:00:00,Manhattan,3003,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y
25,2015-01-01,04:00:00,Queens,344,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y
26,2015-01-01,04:00:00,Staten Island,5,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y
28,2015-01-01,05:00:00,Bronx,87,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y
29,2015-01-01,05:00:00,Brooklyn,759,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y
30,2015-01-01,05:00:00,EWR,0,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y
31,2015-01-01,05:00:00,Manhattan,1313,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y
32,2015-01-01,05:00:00,Queens,241,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y
33,2015-01-01,05:00:00,Staten Island,3,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y
35,2015-01-01,06:00:00,Bronx,65,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y
36,2015-01-01,06:00:00,Brooklyn,457,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y
37,2015-01-01,06:00:00,EWR,0,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y
38,2015-01-01,06:00:00,Manhattan,672,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y
39,2015-01-01,06:00:00,Queens,148,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y
40,2015-01-01,06:00:00,Staten Island,0,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y
41,2015-01-01,07:00:00,Bronx,25,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y
42,2015-01-01,07:00:00,Brooklyn,270,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y
43,2015-01-01,07:00:00,EWR,0,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y
44,2015-01-01,07:00:00,Manhattan,431,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y
45,2015-01-01,07:00:00,Queens,95,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y
46,2015-01-01,07:00:00,Staten Island,0,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y
47,2015-01-01,08:00:00,Bronx,17,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y
48,2015-01-01,08:00:00,Brooklyn,165,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y
49,2015-01-01,08:00:00,EWR,0,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y
50,2015-01-01,08:00:00,Manhattan,329,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y
51,2015-01-01,08:00:00,Queens,69,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y
52,2015-01-01,08:00:00,Staten Island,0,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y
53,2015-01-01,09:00:00,Bronx,13,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y
54,2015-01-01,09:00:00,Brooklyn,149,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y
55,2015-01-01,09:00:00,EWR,0,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y
56,2015-01-01,09:00:00,Manhattan,319,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y
57,2015-01-01,09:00:00,Queens,83,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y
58,2015-01-01,09:00:00,Staten Island,1,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y
59,2015-01-01,10:00:00,Bronx,14,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y
60,2015-01-01,10:00:00,Brooklyn,120,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y
61,2015-01-01,10:00:00,EWR,0,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y
62,2015-01-01,10:00:00,Manhattan,420,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y
63,2015-01-01,10:00:00,Queens,98,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y
64,2015-01-01,10:00:00,Staten Island,1,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y
66,2015-01-01,11:00:00,Bronx,14,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
67,2015-01-01,11:00:00,Brooklyn,180,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
68,2015-01-01,11:00:00,EWR,0,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
69,2015-01-01,11:00:00,Manhattan,586,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
70,2015-01-01,11:00:00,Queens,122,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
71,2015-01-01,11:00:00,Staten Island,1,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
72,2015-01-01,12:00:00,Bronx,12,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
73,2015-01-01,12:00:00,Brooklyn,220,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
74,2015-01-01,12:00:00,EWR,0,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
75,2015-01-01,12:00:00,Manhattan,770,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
76,2015-01-01,12:00:00,Queens,141,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
77,2015-01-01,12:00:00,Staten Island,3,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
79,2015-01-01,13:00:00,Bronx,18,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0,Y
80,2015-01-01,13:00:00,Brooklyn,253,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0,Y
81,2015-01-01,13:00:00,EWR,0,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0,Y
82,2015-01-01,13:00:00,Manhattan,931,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0,Y
83,2015-01-01,13:00:00,Queens,154,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0,Y
84,2015-01-01,13:00:00,Staten Island,3,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0,Y
86,2015-01-01,14:00:00,Bronx,23,0.0,10.0,28.0,6.0,1021.4,0.0,0.0,0.0,0.0,Y
87,2015-01-01,14:00:00,Brooklyn,337,0.0,10.0,28.0,6.0,1021.4,0.0,0.0,0.0,0.0,Y
88,2015-01-01,14:00:00,EWR,0,0.0,10.0,28.0,6.0,1021.4,0.0,0.0,0.0,0.0,Y
89,2015-01-01,14:00:00,Manhattan,1012,0.0,10.0,28.0,6.0,1021.4,0.0,0.0,0.0,0.0,Y
90,2015-01-01,14:00:00,Queens,203,0.0,10.0,28.0,6.0,1021.4,0.0,0.0,0.0,0.0,Y
91,2015-01-01,14:00:00,Staten Island,1,0.0,10.0,28.0,6.0,1021.4,0.0,0.0,0.0,0.0,Y
93,2015-01-01,15:00:00,Bronx,21,6.0,10.0,30.0,6.0,1021.9,0.0,0.0,0.0,0.0,Y
94,2015-01-01,15:00:00,Brooklyn,371,6.0,10.0,30.0,6.0,1021.9,0.0,0.0,0.0,0.0,Y
95,2015-01-01,15:00:00,EWR,0,6.0,10.0,30.0,6.0,1021.9,0.0,0.0,0.0,0.0,Y
96,2015-01-01,15:00:00,Manhattan,1143,6.0,10.0,30.0,6.0,1021.9,0.0,0.0,0.0,0.0,Y
97,2015-01-01,15:00:00,Queens,219,6.0,10.0,30.0,6.0,1021.9,0.0,0.0,0.0,0.0,Y
98,2015-01-01,15:00:00,Staten Island,4,6.0,10.0,30.0,6.0,1021.9,0.0,0.0,0.0,0.0,Y
100,2015-01-01,16:00:00,Bronx,19,3.0,10.0,31.0,6.0,1020.7,0.0,0.0,0.0,0.0,Y
101,2015-01-01,16:00:00,Brooklyn,418,3.0,10.0,31.0,6.0,1020.7,0.0,0.0,0.0,0.0,Y
102,2015-01-01,16:00:00,EWR,1,3.0,10.0,31.0,6.0,1020.7,0.0,0.0,0.0,0.0,Y
103,2015-01-01,16:00:00,Manhattan,1317,3.0,10.0,31.0,6.0,1020.7,0.0,0.0,0.0,0.0,Y
104,2015-01-01,16:00:00,Queens,247,3.0,10.0,31.0,6.0,1020.7,0.0,0.0,0.0,0.0,Y
105,2015-01-01,16:00:00,Staten Island,1,3.0,10.0,31.0,6.0,1020.7,0.0,0.0,0.0,0.0,Y
106,2015-01-01,17:00:00,Bronx,39,11.0,10.0,33.0,7.0,1019.1,0.0,0.0,0.0,0.0,Y
107,2015-01-01,17:00:00,Brooklyn,444,11.0,10.0,33.0,7.0,1019.1,0.0,0.0,0.0,0.0,Y
108,2015-01-01,17:00:00,EWR,0,11.0,10.0,33.0,7.0,1019.1,0.0,0.0,0.0,0.0,Y
109,2015-01-01,17:00:00,Manhattan,1582,11.0,10.0,33.0,7.0,1019.1,0.0,0.0,0.0,0.0,Y
110,2015-01-01,17:00:00,Queens,238,11.0,10.0,33.0,7.0,1019.1,0.0,0.0,0.0,0.0,Y
111,2015-01-01,17:00:00,Staten Island,1,11.0,10.0,33.0,7.0,1019.1,0.0,0.0,0.0,0.0,Y
113,2015-01-01,18:00:00,Bronx,28,10.0,10.0,35.0,7.0,1017.3,0.0,0.0,0.0,0.0,Y
114,2015-01-01,18:00:00,Brooklyn,456,10.0,10.0,35.0,7.0,1017.3,0.0,0.0,0.0,0.0,Y
115,2015-01-01,18:00:00,EWR,0,10.0,10.0,35.0,7.0,1017.3,0.0,0.0,0.0,0.0,Y
116,2015-01-01,18:00:00,Manhattan,1485,10.0,10.0,35.0,7.0,1017.3,0.0,0.0,0.0,0.0,Y
117,2015-01-01,18:00:00,Queens,257,10.0,10.0,35.0,7.0,1017.3,0.0,0.0,0.0,0.0,Y
118,2015-01-01,18:00:00,Staten Island,0,10.0,10.0,35.0,7.0,1017.3,0.0,0.0,0.0,0.0,Y
119,2015-01-01,19:00:00,Bronx,26,7.0,10.0,37.0,7.0,1016.2,0.0,0.0,0.0,0.0,Y
120,2015-01-01,19:00:00,Brooklyn,463,7.0,10.0,37.0,7.0,1016.2,0.0,0.0,0.0,0.0,Y
121,2015-01-01,19:00:00,EWR,0,7.0,10.0,37.0,7.0,1016.2,0.0,0.0,0.0,0.0,Y
122,2015-01-01,19:00:00,Manhattan,1520,7.0,10.0,37.0,7.0,1016.2,0.0,0.0,0.0,0.0,Y
123,2015-01-01,19:00:00,Queens,238,7.0,10.0,37.0,7.0,1016.2,0.0,0.0,0.0,0.0,Y
124,2015-01-01,19:00:00,Staten Island,1,7.0,10.0,37.0,7.0,1016.2,0.0,0.0,0.0,0.0,Y
126,2015-01-01,20:00:00,Bronx,33,9.0,10.0,38.0,8.0,1015.8,0.0,0.0,0.0,0.0,Y
127,2015-01-01,20:00:00,Brooklyn,419,9.0,10.0,38.0,8.0,1015.8,0.0,0.0,0.0,0.0,Y
128,2015-01-01,20:00:00,EWR,0,9.0,10.0,38.0,8.0,1015.8,0.0,0.0,0.0,0.0,Y
129,2015-01-01,20:00:00,Manhattan,1444,9.0,10.0,38.0,8.0,1015.8,0.0,0.0,0.0,0.0,Y
130,2015-01-01,20:00:00,Queens,250,9.0,10.0,38.0,8.0,1015.8,0.0,0.0,0.0,0.0,Y
131,2015-01-01,20:00:00,Staten Island,0,9.0,10.0,38.0,8.0,1015.8,0.0,0.0,0.0,0.0,Y
133,2015-01-01,21:00:00,Bronx,30,8.0,10.0,39.0,10.0,1015.2,0.0,0.0,0.0,0.0,Y
134,2015-01-01,21:00:00,Brooklyn,439,8.0,10.0,39.0,10.0,1015.2,0.0,0.0,0.0,0.0,Y
135,2015-01-01,21:00:00,EWR,0,8.0,10.0,39.0,10.0,1015.2,0.0,0.0,0.0,0.0,Y
136,2015-01-01,21:00:00,Manhattan,1235,8.0,10.0,39.0,10.0,1015.2,0.0,0.0,0.0,0.0,Y
137,2015-01-01,21:00:00,Queens,260,8.0,10.0,39.0,10.0,1015.2,0.0,0.0,0.0,0.0,Y
138,2015-01-01,21:00:00,Staten Island,1,8.0,10.0,39.0,10.0,1015.2,0.0,0.0,0.0,0.0,Y
140,2015-01-01,22:00:00,Bronx,32,11.0,10.0,39.0,11.0,1015.1,0.0,0.0,0.0,0.0,Y
141,2015-01-01,22:00:00,Brooklyn,446,11.0,10.0,39.0,11.0,1015.1,0.0,0.0,0.0,0.0,Y
142,2015-01-01,22:00:00,EWR,0,11.0,10.0,39.0,11.0,1015.1,0.0,0.0,0.0,0.0,Y
143,2015-01-01,22:00:00,Manhattan,1153,11.0,10.0,39.0,11.0,1015.1,0.0,0.0,0.0,0.0,Y
144,2015-01-01,22:00:00,Queens,267,11.0,10.0,39.0,11.0,1015.1,0.0,0.0,0.0,0.0,Y
145,2015-01-01,22:00:00,Staten Island,1,11.0,10.0,39.0,11.0,1015.1,0.0,0.0,0.0,0.0,Y
147,2015-01-01,23:00:00,Bronx,27,7.0,10.0,39.0,13.0,1015.1,0.0,0.0,0.0,0.0,Y
148,2015-01-01,23:00:00,Brooklyn,423,7.0,10.0,39.0,13.0,1015.1,0.0,0.0,0.0,0.0,Y
149,2015-01-01,23:00:00,EWR,0,7.0,10.0,39.0,13.0,1015.1,0.0,0.0,0.0,0.0,Y
150,2015-01-01,23:00:00,Manhattan,1025,7.0,10.0,39.0,13.0,1015.1,0.0,0.0,0.0,0.0,Y
151,2015-01-01,23:00:00,Queens,258,7.0,10.0,39.0,13.0,1015.1,0.0,0.0,0.0,0.0,Y
152,2015-01-01,23:00:00,Staten Island,1,7.0,10.0,39.0,13.0,1015.1,0.0,0.0,0.0,0.0,Y
153,2015-01-02,00:00:00,Bronx,24,0.0,10.0,39.0,13.0,1015.3,0.0,0.0,0.0,0.0,N
154,2015-01-02,00:00:00,Brooklyn,331,0.0,10.0,39.0,13.0,1015.3,0.0,0.0,0.0,0.0,N
155,2015-01-02,00:00:00,EWR,0,0.0,10.0,39.0,13.0,1015.3,0.0,0.0,0.0,0.0,N
156,2015-01-02,00:00:00,Manhattan,808,0.0,10.0,39.0,13.0,1015.3,0.0,0.0,0.0,0.0,N
157,2015-01-02,00:00:00,Queens,220,0.0,10.0,39.0,13.0,1015.3,0.0,0.0,0.0,0.0,N
158,2015-01-02,00:00:00,Staten Island,1,0.0,10.0,39.0,13.0,1015.3,0.0,0.0,0.0,0.0,N
159,2015-01-02,01:00:00,Bronx,19,7.0,10.0,38.0,15.0,1015.4,0.0,0.0,0.0,0.0,N
160,2015-01-02,01:00:00,Brooklyn,279,7.0,10.0,38.0,15.0,1015.4,0.0,0.0,0.0,0.0,N
161,2015-01-02,01:00:00,EWR,0,7.0,10.0,38.0,15.0,1015.4,0.0,0.0,0.0,0.0,N
162,2015-01-02,01:00:00,Manhattan,666,7.0,10.0,38.0,15.0,1015.4,0.0,0.0,0.0,0.0,N
163,2015-01-02,01:00:00,Queens,107,7.0,10.0,38.0,15.0,1015.4,0.0,0.0,0.0,0.0,N
164,2015-01-02,01:00:00,Staten Island,0,7.0,10.0,38.0,15.0,1015.4,0.0,0.0,0.0,0.0,N
165,2015-01-02,02:00:00,Bronx,16,9.0,10.0,38.0,16.0,1015.2,0.0,0.0,0.0,0.0,N
166,2015-01-02,02:00:00,Brooklyn,154,9.0,10.0,38.0,16.0,1015.2,0.0,0.0,0.0,0.0,N
167,2015-01-02,02:00:00,EWR,0,9.0,10.0,38.0,16.0,1015.2,0.0,0.0,0.0,0.0,N
168,2015-01-02,02:00:00,Manhattan,330,9.0,10.0,38.0,16.0,1015.2,0.0,0.0,0.0,0.0,N
169,2015-01-02,02:00:00,Queens,50,9.0,10.0,38.0,16.0,1015.2,0.0,0.0,0.0,0.0,N
170,2015-01-02,02:00:00,Staten Island,0,9.0,10.0,38.0,16.0,1015.2,0.0,0.0,0.0,0.0,N
171,2015-01-02,03:00:00,Bronx,7,8.0,10.0,38.0,16.0,1015.5,0.0,0.0,0.0,0.0,N
172,2015-01-02,03:00:00,Brooklyn,110,8.0,10.0,38.0,16.0,1015.5,0.0,0.0,0.0,0.0,N
173,2015-01-02,03:00:00,EWR,0,8.0,10.0,38.0,16.0,1015.5,0.0,0.0,0.0,0.0,N
174,2015-01-02,03:00:00,Manhattan,240,8.0,10.0,38.0,16.0,1015.5,0.0,0.0,0.0,0.0,N
175,2015-01-02,03:00:00,Queens,31,8.0,10.0,38.0,16.0,1015.5,0.0,0.0,0.0,0.0,N
176,2015-01-02,03:00:00,Staten Island,0,8.0,10.0,38.0,16.0,1015.5,0.0,0.0,0.0,0.0,N
178,2015-01-02,04:00:00,Bronx,10,10.0,10.0,38.0,17.0,1016.4,0.0,0.0,0.0,0.0,N
179,2015-01-02,04:00:00,Brooklyn,109,10.0,10.0,38.0,17.0,1016.4,0.0,0.0,0.0,0.0,N
180,2015-01-02,04:00:00,EWR,0,10.0,10.0,38.0,17.0,1016.4,0.0,0.0,0.0,0.0,N
181,2015-01-02,04:00:00,Manhattan,241,10.0,10.0,38.0,17.0,1016.4,0.0,0.0,0.0,0.0,N
182,2015-01-02,04:00:00,Queens,35,10.0,10.0,38.0,17.0,1016.4,0.0,0.0,0.0,0.0,N
183,2015-01-02,04:00:00,Staten Island,0,10.0,10.0,38.0,17.0,1016.4,0.0,0.0,0.0,0.0,N
185,2015-01-02,05:00:00,Bronx,9,10.0,10.0,37.0,17.0,1016.4,0.0,0.0,0.0,0.0,N
186,2015-01-02,05:00:00,Brooklyn,88,10.0,10.0,37.0,17.0,1016.4,0.0,0.0,0.0,0.0,N
187,2015-01-02,05:00:00,EWR,0,10.0,10.0,37.0,17.0,1016.4,0.0,0.0,0.0,0.0,N
188,2015-01-02,05:00:00,Manhattan,268,10.0,10.0,37.0,17.0,1016.4,0.0,0.0,0.0,0.0,N
189,2015-01-02,05:00:00,Queens,49,10.0,10.0,37.0,17.0,1016.4,0.0,0.0,0.0,0.0,N
190,2015-01-02,05:00:00,Staten Island,0,10.0,10.0,37.0,17.0,1016.4,0.0,0.0,0.0,0.0,N
191,2015-01-02,06:00:00,Bronx,7,8.0,10.0,38.0,15.0,1016.2,0.0,0.0,0.0,0.0,N
192,2015-01-02,06:00:00,Brooklyn,118,8.0,10.0,38.0,15.0,1016.2,0.0,0.0,0.0,0.0,N
193,2015-01-02,06:00:00,EWR,0,8.0,10.0,38.0,15.0,1016.2,0.0,0.0,0.0,0.0,N
194,2015-01-02,06:00:00,Manhattan,362,8.0,10.0,38.0,15.0,1016.2,0.0,0.0,0.0,0.0,N
195,2015-01-02,06:00:00,Queens,86,8.0,10.0,38.0,15.0,1016.2,0.0,0.0,0.0,0.0,N
196,2015-01-02,06:00:00,Staten Island,0,8.0,10.0,38.0,15.0,1016.2,0.0,0.0,0.0,0.0,N
197,2015-01-02,07:00:00,Bronx,15,8.0,10.0,37.0,16.0,1016.8,0.0,0.0,0.0,0.0,N
198,2015-01-02,07:00:00,Brooklyn,148,8.0,10.0,37.0,16.0,1016.8,0.0,0.0,0.0,0.0,N
199,2015-01-02,07:00:00,EWR,0,8.0,10.0,37.0,16.0,1016.8,0.0,0.0,0.0,0.0,N
200,2015-01-02,07:00:00,Manhattan,430,8.0,10.0,37.0,16.0,1016.8,0.0,0.0,0.0,0.0,N
201,2015-01-02,07:00:00,Queens,97,8.0,10.0,37.0,16.0,1016.8,0.0,0.0,0.0,0.0,N
202,2015-01-02,07:00:00,Staten Island,2,8.0,10.0,37.0,16.0,1016.8,0.0,0.0,0.0,0.0,N
203,2015-01-02,08:00:00,Bronx,11,7.0,10.0,37.0,16.0,1017.6,0.0,0.0,0.0,0.0,N
204,2015-01-02,08:00:00,Brooklyn,215,7.0,10.0,37.0,16.0,1017.6,0.0,0.0,0.0,0.0,N
205,2015-01-02,08:00:00,EWR,0,7.0,10.0,37.0,16.0,1017.6,0.0,0.0,0.0,0.0,N
206,2015-01-02,08:00:00,Manhattan,589,7.0,10.0,37.0,16.0,1017.6,0.0,0.0,0.0,0.0,N
207,2015-01-02,08:00:00,Queens,128,7.0,10.0,37.0,16.0,1017.6,0.0,0.0,0.0,0.0,N
208,2015-01-02,08:00:00,Staten Island,1,7.0,10.0,37.0,16.0,1017.6,0.0,0.0,0.0,0.0,N
210,2015-01-02,09:00:00,Bronx,10,5.0,10.0,37.0,15.0,1017.7,0.0,0.0,0.0,0.0,N
211,2015-01-02,09:00:00,Brooklyn,289,5.0,10.0,37.0,15.0,1017.7,0.0,0.0,0.0,0.0,N
212,2015-01-02,09:00:00,EWR,0,5.0,10.0,37.0,15.0,1017.7,0.0,0.0,0.0,0.0,N
213,2015-01-02,09:00:00,Manhattan,843,5.0,10.0,37.0,15.0,1017.7,0.0,0.0,0.0,0.0,N
214,2015-01-02,09:00:00,Queens,141,5.0,10.0,37.0,15.0,1017.7,0.0,0.0,0.0,0.0,N
215,2015-01-02,09:00:00,Staten Island,0,5.0,10.0,37.0,15.0,1017.7,0.0,0.0,0.0,0.0,N
216,2015-01-02,10:00:00,Bronx,21,3.0,10.0,36.0,16.0,1018.0,0.0,0.0,0.0,0.0,N
217,2015-01-02,10:00:00,Brooklyn,308,3.0,10.0,36.0,16.0,1018.0,0.0,0.0,0.0,0.0,N
218,2015-01-02,10:00:00,EWR,0,3.0,10.0,36.0,16.0,1018.0,0.0,0.0,0.0,0.0,N
219,2015-01-02,10:00:00,Manhattan,893,3.0,10.0,36.0,16.0,1018.0,0.0,0.0,0.0,0.0,N
220,2015-01-02,10:00:00,Queens,165,3.0,10.0,36.0,16.0,1018.0,0.0,0.0,0.0,0.0,N
221,2015-01-02,10:00:00,Staten Island,0,3.0,10.0,36.0,16.0,1018.0,0.0,0.0,0.0,0.0,N
223,2015-01-02,11:00:00,Bronx,21,8.0,10.0,36.0,16.0,1019.6,0.0,0.0,0.0,0.0,N
224,2015-01-02,11:00:00,Brooklyn,294,8.0,10.0,36.0,16.0,1019.6,0.0,0.0,0.0,0.0,N
225,2015-01-02,11:00:00,EWR,0,8.0,10.0,36.0,16.0,1019.6,0.0,0.0,0.0,0.0,N
226,2015-01-02,11:00:00,Manhattan,1002,8.0,10.0,36.0,16.0,1019.6,0.0,0.0,0.0,0.0,N
227,2015-01-02,11:00:00,Queens,150,8.0,10.0,36.0,16.0,1019.6,0.0,0.0,0.0,0.0,N
228,2015-01-02,11:00:00,Staten Island,0,8.0,10.0,36.0,16.0,1019.6,0.0,0.0,0.0,0.0,N
230,2015-01-02,12:00:00,Bronx,26,5.0,10.0,36.0,16.0,1020.9,0.0,0.0,0.0,0.0,N
231,2015-01-02,12:00:00,Brooklyn,324,5.0,10.0,36.0,16.0,1020.9,0.0,0.0,0.0,0.0,N
232,2015-01-02,12:00:00,EWR,0,5.0,10.0,36.0,16.0,1020.9,0.0,0.0,0.0,0.0,N
233,2015-01-02,12:00:00,Manhattan,1219,5.0,10.0,36.0,16.0,1020.9,0.0,0.0,0.0,0.0,N
234,2015-01-02,12:00:00,Queens,169,5.0,10.0,36.0,16.0,1020.9,0.0,0.0,0.0,0.0,N
235,2015-01-02,12:00:00,Staten Island,0,5.0,10.0,36.0,16.0,1020.9,0.0,0.0,0.0,0.0,N
236,2015-01-02,13:00:00,Bronx,30,7.0,10.0,36.0,16.0,1021.7,0.0,0.0,0.0,0.0,N
237,2015-01-02,13:00:00,Brooklyn,333,7.0,10.0,36.0,16.0,1021.7,0.0,0.0,0.0,0.0,N
238,2015-01-02,13:00:00,EWR,0,7.0,10.0,36.0,16.0,1021.7,0.0,0.0,0.0,0.0,N
239,2015-01-02,13:00:00,Manhattan,1292,7.0,10.0,36.0,16.0,1021.7,0.0,0.0,0.0,0.0,N
240,2015-01-02,13:00:00,Queens,156,7.0,10.0,36.0,16.0,1021.7,0.0,0.0,0.0,0.0,N
241,2015-01-02,13:00:00,Staten Island,0,7.0,10.0,36.0,16.0,1021.7,0.0,0.0,0.0,0.0,N
243,2015-01-02,14:00:00,Bronx,16,6.0,10.0,38.0,16.0,1022.4,0.0,0.0,0.0,0.0,N
244,2015-01-02,14:00:00,Brooklyn,317,6.0,10.0,38.0,16.0,1022.4,0.0,0.0,0.0,0.0,N
